ori,agency_name,state_name,latitude,longitude,population,city_name,weapon_increase,firearm_increase,2019,2021,perc_21_19,perc_abs,incdec
TX2120400,Tyler Police Department,Texas,32.3517,-95.30884,109408,TYLER,1,1,87,155,78.16091954,78.16091954,increase
MA0051900,Methuen Police Department,Massachusetts,42.729824,-71.19032,51691,METHUEN,0,0,9,2,-77.77777778,77.77777778,decrease
MI4114100,Kent County Sheriff's Office,Michigan,42.976032,-85.630035,270582,GRAND RAPIDS,1,1,31,55,77.41935484,77.41935484,increase
LA0290000,Lafourche Parish Sheriff's Office,Louisiana,29.491992,-90.394849,78301,THIBODAUX,1,1,44,78,77.27272727,77.27272727,increase
AR0660100,Fort Smith Police Department,Arkansas,35.38317,-94.4234,87912,FORT SMITH,1,1,92,163,77.17391304,77.17391304,increase
VA1140000,Lynchburg Police Department,Virginia,37.399016,-79.195458,82088,LYNCHBURG,1,1,45,79,75.55555556,75.55555556,increase
MN0620000,Ramsey County Sheriff's Office,Minnesota,45.01525,-93.100141,84975,SAINT PAUL,1,1,16,28,75,75,increase
WA0340400,Lacey Police Department,Washington,46.932598,-122.829441,55484,LACEY,0,1,4,7,75,75,increase
WA0390000,Yakima County Sheriff's Office,Washington,46.456558,-120.740145,84839,YAKIMA,0,1,16,28,75,75,increase
MA0092600,Lowell Police Department,Massachusetts,42.64813,-71.31313,112230,LOWELL,0,1,27,47,74.07407407,74.07407407,increase
TN0830400,Hendersonville Police Department,Tennessee,36.473443,-86.459798,60170,HENDERSONVILLE,0,0,27,7,-74.07407407,74.07407407,decrease
NC0780000,Robeson County Sheriff's Office,North Carolina,34.591152,-79.05221,92933,LUMBERTON,1,1,207,360,73.91304348,73.91304348,increase
SC0080000,Berkeley County Sheriff's Office,South Carolina,33.200596,-80.01885,132179,MONCKS CORNER,1,1,69,120,73.91304348,73.91304348,increase
OHCOP0000,Columbus Police Department,Ohio,39.9643,-83.0046,916001,COLUMBUS,1,1,700,1216,73.71428571,73.71428571,increase
MI3913900,Kalamazoo County Sheriff's Office,Michigan,42.277348,-85.54824,111762,KALAMAZOO,1,1,34,59,73.52941176,73.52941176,increase
MI6116100,Muskegon County Sheriff's Office,Michigan,43.235233,-86.24447,58165,MUSKEGON,0,0,7,2,-71.42857143,71.42857143,decrease
WA0060000,Clark County Sheriff's Office,Washington,45.771674,-122.485903,231393,VANCOUVER,1,1,14,24,71.42857143,71.42857143,increase
TN0470100,Knoxville Police Department,Tennessee,35.992726,-83.937721,191463,KNOXVILLE,1,1,245,417,70.20408163,70.20408163,increase
WA0110200,Pasco Police Department,Washington,46.235126,-119.0925,78680,PASCO,1,1,20,34,70,70,increase
WV0020000,Berkeley County Sheriff's Office,West Virginia,39.45025,-77.96581,106788,MARTINSBURG,1,1,10,17,70,70,increase
WIMPD0000,Milwaukee Police Department,Wisconsin,43.04385,-87.90265,593337,MILWAUKEE,1,1,1733,2942,69.76341604,69.76341604,increase
MI3313300,Ingham County Sheriff's Office,Michigan,42.588882,-84.45707,68436,MASON,1,1,13,22,69.23076923,69.23076923,increase
MI6380800,Waterford Township Police Department,Michigan,42.67006,-83.38812,72213,WATERFORD,1,1,13,22,69.23076923,69.23076923,increase
OK0550300,Edmond Police Department,Oklahoma,35.654186,-97.480965,96861,EDMOND,1,1,13,22,69.23076923,69.23076923,increase
TX0140700,Temple Police Department,Texas,31.095078,-97.33949,82333,TEMPLE,1,1,52,88,69.23076923,69.23076923,increase
TX1011500,Pasadena Police Department,Texas,29.690775,-95.19727,149428,PASADENA,1,1,107,181,69.1588785,69.1588785,increase
TXHPD0000,Houston Police Department,Texas,29.75597,-95.36702,2339252,HOUSTON,1,1,3742,6325,69.02725815,69.02725815,increase
WA0321500,Spokane Valley Police Department,Washington,47.620375,-117.403371,104276,SPOKANE VALLEY,1,1,19,32,68.42105263,68.42105263,increase
TX0571800,Mesquite Police Department,Texas,32.766987,-96.778424,137796,MESQUITE,1,1,139,234,68.34532374,68.34532374,increase
NC0260100,Fayetteville Police Department,North Carolina,35.054447,-78.88379,212047,FAYETTEVILLE,1,1,340,571,67.94117647,67.94117647,increase
NC0010000,Alamance County Sheriff's Office,North Carolina,36.041974,-79.399935,66326,GRAHAM,1,1,28,47,67.85714286,67.85714286,increase
OH0570200,Dayton Police Department,Ohio,39.758675,-84.197075,139671,DAYTON,1,1,275,461,67.63636364,67.63636364,increase
TNMPD0000,Memphis Police Department,Tennessee,35.14924,-90.047455,649444,MEMPHIS,1,1,3362,5608,66.80547293,66.80547293,increase
MA0112700,Weymouth Police Department,Massachusetts,42.200764,-70.94817,59242,WEYMOUTH,0,1,3,5,66.66666667,66.66666667,increase
MI4714700,Livingston County Sheriff's Office,Michigan,42.612854,-83.95397,127743,HOWELL,1,1,6,10,66.66666667,66.66666667,increase
MI5015000,Macomb County Sheriff's Office,Michigan,42.615917,-82.886955,198239,MOUNT CLEMENS,1,1,27,45,66.66666667,66.66666667,increase
NB0770100,Bellevue Police Department,Nebraska,41.115064,-96.109125,53436,BELLEVUE,0,0,3,1,-66.66666667,66.66666667,decrease
OH0760000,Stark County Sheriff's Office,Ohio,40.814131,-81.365667,118427,CANTON,1,1,15,25,66.66666667,66.66666667,increase
UT0290000,Weber County Sheriff's Office,Utah,41.244186,-111.96058,75470,OGDEN,1,1,6,10,66.66666667,66.66666667,increase
WA0030200,Richland Police Department,Washington,46.278522,-119.27373,60615,RICHLAND,1,1,12,20,66.66666667,66.66666667,increase
WA0171200,Redmond Police Department,Washington,47.493554,-121.832375,74583,REDMOND,0,0,6,2,-66.66666667,66.66666667,decrease
OR0150400,Medford Police Department,Oregon,42.323277,-122.87611,84297,MEDFORD,0,0,29,10,-65.51724138,65.51724138,decrease
MI8277500,Taylor Police Department,Michigan,42.226578,-83.2629,60341,TAYLOR,1,1,46,76,65.2173913,65.2173913,increase
TN0330000,Hamilton County Sheriff's Office,Tennessee,35.049618,-85.30953,121457,CHATTANOOGA,1,1,23,38,65.2173913,65.2173913,increase
SD0510100,Rapid City Police Department,South Dakota,44.078087,-103.22213,79910,RAPID CITY,1,1,31,51,64.51612903,64.51612903,increase
TX2210100,Abilene Police Department,Texas,32.295054,-99.893644,125088,ABILENE,1,1,76,125,64.47368421,64.47368421,increase
WA0270000,Pierce County Sheriff's Office,Washington,47.254436,-122.44484,429625,TACOMA,1,1,163,268,64.41717791,64.41717791,increase
VA1230000,Roanoke Police Department,Virginia,37.278458,-79.958174,99175,ROANOKE,1,1,73,120,64.38356164,64.38356164,increase
MI2312300,Eaton County Sheriff's Office,Michigan,42.589614,-84.846524,78168,CHARLOTTE,1,1,14,23,64.28571429,64.28571429,increase
ID0280100,Coeur d'Alene Police Department,Idaho,47.715008,-116.80246,54358,COEUR D ALENE,1,1,11,18,63.63636364,63.63636364,increase
OR0150000,Jackson County Sheriff's Office,Oregon,42.322453,-122.87915,70360,MEDFORD,0,0,11,4,-63.63636364,63.63636364,decrease
NC0920000,Wake County Sheriff's Office,North Carolina,35.789846,-78.650624,182101,RALEIGH,1,1,30,49,63.33333333,63.33333333,increase
CODPD0000,Denver Police Department,Colorado,39.737377,-104.99167,740209,DENVER,1,1,717,1166,62.62203626,62.62203626,increase
OH0130000,Clermont County Sheriff's Office,Ohio,39.094086,-84.19046,65107,BATAVIA,0,0,24,9,-62.5,62.5,decrease
OR0090000,Deschutes County Sheriff's Office,Oregon,44.097103,-121.3027,63484,BEND,0,0,8,3,-62.5,62.5,decrease
CO0300100,Arvada Police Department,Colorado,39.802036,-105.08734,123548,ARVADA,1,1,37,60,62.16216216,62.16216216,increase
DE303SP00,State Police: Sussex County,Delaware,38.677511,-75.335495,189948,LEWES,1,1,52,84,61.53846154,61.53846154,increase
TN0790600,Bartlett Police Department,Tennessee,35.228004,-89.80908,59562,MEMPHIS,0,1,23,37,60.86956522,60.86956522,increase
OHCLP0000,Cleveland Police Department,Ohio,41.53992,-81.62757,379313,CLEVELAND,1,1,989,1589,60.66734075,60.66734075,increase
CO0010500,Westminster Police Department,Colorado,39.86312,-105.050415,115942,WESTMINSTER,1,1,45,72,60,60,increase
NC0490000,Iredell County Sheriff's Office,North Carolina,35.806356,-80.874545,113516,STATESVILLE,1,1,20,32,60,60,increase
NC0900000,Union County Sheriff's Office,North Carolina,34.991501,-80.530131,166428,MONROE,1,1,35,56,60,60,increase
OH0850000,Wayne County Sheriff's Office,Ohio,40.829661,-81.887194,61918,WOOSTER,0,1,5,8,60,60,increase
VA0160000,Campbell County Sheriff's Office,Virginia,37.210151,-79.095428,50755,RUSTBURG,1,1,20,32,60,60,increase
UT0250000,Utah County Sheriff's Office,Utah,40.120409,-111.668667,80755,SPANISH FORK,1,0,5,2,-60,60,decrease
WA0320400,Spokane Police Department,Washington,47.665245,-117.42813,223344,SPOKANE,0,1,124,197,58.87096774,58.87096774,increase
ID0010000,Ada County Sheriff's Office,Idaho,43.60671,-116.26885,147581,BOISE,1,1,12,19,58.33333333,58.33333333,increase
KY0300100,Owensboro Police Department,Kentucky,37.731671,-87.087139,60636,OWENSBORO,1,1,12,19,58.33333333,58.33333333,increase
WA0310500,Marysville Police Department,Washington,48.061275,-122.174385,72620,MARYSVILLE,0,1,12,19,58.33333333,58.33333333,increase
TX0790100,Missouri City Police Department,Texas,29.526602,-95.771015,77682,MISSOURI CITY,1,1,19,30,57.89473684,57.89473684,increase
SD0490200,Sioux Falls Police Department,South Dakota,43.553837,-96.73019,191508,SIOUX FALLS,1,1,83,131,57.8313253,57.8313253,increase
IA0070300,Waterloo Police Department,Iowa,42.499016,-92.33279,67174,WATERLOO,1,1,45,71,57.77777778,57.77777778,increase
AZ0140500,Yuma Police Department,Arizona,32.700336,-114.62042,100710,YUMA,1,1,40,63,57.5,57.5,increase
ID0010100,Boise Police Department,Idaho,43.60671,-116.26885,231902,BOISE,1,1,49,77,57.14285714,57.14285714,increase
MI5084900,Clinton Township Police Department,Michigan,42.57993,-82.904144,100094,CLINTON TOWNSHIP,1,1,35,55,57.14285714,57.14285714,increase
TX0430600,Plano Police Department,Texas,33.0179,-96.70228,294496,PLANO,1,1,53,83,56.60377358,56.60377358,increase
NC0350000,Franklin County Sheriff's Office,North Carolina,36.088241,-78.28309,60066,LOUISBURG,1,1,16,25,56.25,56.25,increase
MA0030800,Fall River Police Department,Massachusetts,41.78334,-71.12577,90618,FALL RIVER,1,1,45,70,55.55555556,55.55555556,increase
MA0091100,Cambridge Police Department,Massachusetts,42.36524,-71.10541,121699,CAMBRIDGE,1,1,18,28,55.55555556,55.55555556,increase
OR0100000,Douglas County Sheriff's Office,Oregon,43.210407,-123.34182,65755,ROSEBURG,1,1,9,14,55.55555556,55.55555556,increase
WA0030100,Kennewick Police Department,Washington,46.20264,-119.120224,85595,KENNEWICK,1,1,38,59,55.26315789,55.26315789,increase
MN0550100,Rochester Police Department,Minnesota,44.019302,-92.460846,121225,ROCHESTER,1,1,20,31,55,55,increase
WA0340000,Thurston County Sheriff's Office,Washington,46.932598,-122.829441,149990,OLYMPIA,1,1,20,31,55,55,increase
NC0110000,Buncombe County Sheriff's Office,North Carolina,35.59564,-82.56017,146671,ASHEVILLE,0,0,51,23,-54.90196078,54.90196078,decrease
SC0380000,Orangeburg County Sheriff's Office,South Carolina,33.436135,-80.802913,64641,ORANGEBURG,1,1,196,302,54.08163265,54.08163265,increase
MI4183400,Wyoming Police Department,Michigan,42.921856,-85.69716,77094,GRAND RAPIDS,1,1,43,66,53.48837209,53.48837209,increase
TN0750100,Murfreesboro Police Department,Tennessee,35.84415,-86.391716,155652,MURFREESBORO,1,1,107,164,53.27102804,53.27102804,increase
OH0480700,Toledo Police Department,Ohio,41.65603,-83.535126,269941,TOLEDO,1,1,594,902,51.85185185,51.85185185,increase
TX0460100,New Braunfels Police Department,Texas,29.692354,-98.11035,100427,NEW BRAUNFELS,1,1,27,41,51.85185185,51.85185185,increase
OH0760400,Canton Police Department,Ohio,40.79727,-81.37636,69623,CANTON,1,1,192,291,51.5625,51.5625,increase
CO0640100,Broomfield Police Department,Colorado,39.921543,-105.07059,73077,BROOMFIELD,0,1,2,3,50,50,increase
CT0005100,Fairfield Police Department,Connecticut,41.139725,-73.25669,62473,FAIRFIELD,0,0,2,1,-50,50,decrease
CTCSP0000,Connecticut State Police,Connecticut,41.5685,-72.728714,543228,MIDDLETOWN,0,1,10,15,50,50,increase
ID0010300,Meridian Police Department,Idaho,43.451477,-116.244376,126744,MERIDIAN,1,1,16,24,50,50,increase
ID0140000,Canyon County Sheriff's Office,Idaho,43.66518,-116.68237,67118,CALDWELL,0,1,10,15,50,50,increase
KY0080000,Boone County Sheriff's Office,Kentucky,38.974595,-84.731431,103832,BURLINGTON,1,1,2,3,50,50,increase
KY0470000,Hardin County Sheriff's Office,Kentucky,37.693172,-85.857796,51133,ELIZABETHTOWN,1,0,2,1,-50,50,decrease
MA0093000,Medford Police Department,Massachusetts,42.416054,-71.11058,61819,MEDFORD,0,0,10,5,-50,50,decrease
MI0910900,Bay County Sheriff's Office,Michigan,43.608883,-83.85207,57772,BAY CITY,0,1,4,6,50,50,increase
MN0100000,Carver County Sheriff's Office,Minnesota,44.788643,-93.594,80845,CHASKA,0,1,2,3,50,50,increase
MO0920400,St. Peters Police Department,Missouri,38.781102,-90.674915,58597,ST PETERS,1,1,6,9,50,50,increase
ND0080100,Bismarck Police Department,North Dakota,46.80085,-100.778694,75396,BISMARCK,0,1,2,3,50,50,increase
OR0220100,Albany Police Department,Oregon,44.629757,-123.09799,56746,ALBANY,1,0,4,2,-50,50,decrease
TN0790100,Collierville Police Department,Tennessee,35.042213,-89.667854,52059,COLLIERVILLE,0,0,18,9,-50,50,decrease
VA0880000,Spotsylvania County Sheriff's Office,Virginia,38.182311,-77.65628,139928,SPOTSYLVANIA,1,1,8,12,50,50,increase
WI0050000,Brown County Sheriff's Office,Wisconsin,44.473961,-87.995926,102245,GREEN BAY,0,0,2,1,-50,50,decrease
UT0182500,West Valley Police Department,Utah,40.694046,-111.96,134329,WEST VALLEY CITY,0,1,57,85,49.12280702,49.12280702,increase
OH0470500,Lorain Police Department,Ohio,41.467964,-82.179665,63859,LORAIN,1,1,45,67,48.88888889,48.88888889,increase
MI7017000,Ottawa County Sheriff's Office,Michigan,42.942818,-86.08693,257424,WEST OLIVE,1,1,35,52,48.57142857,48.57142857,increase
OH0570000,Montgomery County Sheriff's Office,Ohio,39.759624,-84.20099,64743,DAYTON,1,1,48,71,47.91666667,47.91666667,increase
MI8121800,Ann Arbor Police Department,Michigan,42.252327,-83.844634,119805,ANN ARBOR,1,1,19,28,47.36842105,47.36842105,increase
TN0750200,Smyrna Police Department,Tennessee,35.843369,-86.417213,54645,SMYRNA,0,1,32,47,46.875,46.875,increase
TX2460000,Williamson County Sheriff's Office,Texas,30.648024,-97.6788,133276,GEORGETOWN,1,1,30,44,46.66666667,46.66666667,increase
SC0320000,Lexington County Sheriff's Office,South Carolina,33.97945,-81.24931,224918,LEXINGTON,1,1,114,167,46.49122807,46.49122807,increase
WA0272300,Lakewood Police Department,Washington,47.172527,-122.50711,61325,LAKEWOOD,1,1,69,101,46.37681159,46.37681159,increase
SC0460000,York County Sheriff's Office,South Carolina,34.98478,-81.20186,158843,YORK,1,1,54,79,46.2962963,46.2962963,increase
CO0210000,El Paso County Sheriff's Office,Colorado,38.830826,-104.823685,190502,COLORADO SPRINGS,1,1,87,127,45.97701149,45.97701149,increase
WA0170000,King County Sheriff's Office,Washington,47.602222,-122.33089,231851,SEATTLE,1,1,48,70,45.83333333,45.83333333,increase
VA0080000,Augusta County Sheriff's Office,Virginia,38.167807,-79.146682,76742,VERONA,0,0,11,6,-45.45454545,45.45454545,decrease
WI0050200,Green Bay Police Department,Wisconsin,44.511395,-88.01636,103826,GREEN BAY,0,1,40,58,45,45,increase
VA0890000,Stafford County Sheriff's Office,Virginia,38.415386,-77.454872,159532,STAFFORD,1,1,49,71,44.89795918,44.89795918,increase
MA0071800,Springfield Police Department,Massachusetts,42.108536,-72.584915,154098,SPRINGFIELD,1,1,159,230,44.65408805,44.65408805,increase
ID0100000,Bonneville County Sheriff's Office,Idaho,43.494877,-112.04055,62285,IDAHO FALLS,1,1,9,13,44.44444444,44.44444444,increase
MI5074000,Shelby Township Police Department,Michigan,42.68191,-83.03435,82164,UTICA,1,1,9,13,44.44444444,44.44444444,increase
OH0700000,Richland County Sheriff's Office,Ohio,40.7582,-82.491455,51714,MANSFIELD,1,1,9,13,44.44444444,44.44444444,increase
CO0010400,Thornton Police Department,Colorado,39.868996,-104.984215,151324,THORNTON,1,1,16,23,43.75,43.75,increase
TN0190100,Nashville Metropolitan Police Department,Tennessee,36.16728,-86.77937,690553,NASHVILLE,1,1,1490,2139,43.55704698,43.55704698,increase
SC0100100,Charleston Police Department,South Carolina,32.787556,-79.95888,141768,CHARLESTON,1,1,124,178,43.5483871,43.5483871,increase
KS0460900,Shawnee Police Department,Kansas,39.02212,-94.77992,66710,SHAWNEE,1,1,23,33,43.47826087,43.47826087,increase
IA0820200,Davenport Police Department,Iowa,41.523746,-90.57706,102014,DAVENPORT,1,1,121,173,42.97520661,42.97520661,increase
NC0130000,Cabarrus County Sheriff's Office,North Carolina,35.387845,-80.552868,79911,CONCORD,1,1,7,10,42.85714286,42.85714286,increase
NC0920200,Apex Police Department,North Carolina,35.733063,-78.85477,67878,APEX,0,0,7,4,-42.85714286,42.85714286,decrease
OH0730000,Scioto County Sheriff's Office,Ohio,38.74373,-82.99219,52464,PORTSMOUTH,0,0,7,4,-42.85714286,42.85714286,decrease
UT0181800,South Jordan Police Department,Utah,40.667883,-111.92424,81919,SOUTH JORDAN,1,1,7,10,42.85714286,42.85714286,increase
WA0340100,Olympia Police Department,Washington,47.04081,-122.89205,54322,OLYMPIA,0,1,7,10,42.85714286,42.85714286,increase
OH0770100,Akron Police Department,Ohio,41.07928,-81.518654,195701,AKRON,1,1,304,434,42.76315789,42.76315789,increase
SC0280000,Kershaw County Sheriff's Office,South Carolina,34.338356,-80.590885,57578,LUGOFF,1,1,38,54,42.10526316,42.10526316,increase
KY1140100,Bowling Green Police Department,Kentucky,36.995796,-86.44383,71826,BOWLING GREEN,1,1,12,17,41.66666667,41.66666667,increase
SC0100300,Mount Pleasant Police Department,South Carolina,32.8015,-79.89017,95657,MOUNT PLEASANT,0,1,12,17,41.66666667,41.66666667,increase
UT0270100,St. George Police Department,Utah,37.112602,-113.57904,94601,ST GEORGE,1,1,12,17,41.66666667,41.66666667,increase
MI5080600,Warren Police Department,Michigan,42.671467,-82.910869,132758,WARREN,1,1,90,127,41.11111111,41.11111111,increase
NM0010100,Albuquerque Police Department,New Mexico,35.089184,-106.65081,564147,ALBUQUERQUE,1,1,1211,1708,41.04046243,41.04046243,increase
VA0800300,Roanoke County Police Department,Virginia,37.320732,-80.02192,86464,ROANOKE,1,1,32,45,40.625,40.625,increase
MI631910X,Rochester Hills Police Department,Michigan,,,74426,,1,0,5,3,-40,40,decrease
CO0180000,Douglas County Sheriff's Office,Colorado,39.40472,-104.87107,213896,CASTLE ROCK,1,1,45,63,40,40,increase
MI2812800,Grand Traverse County Sheriff's Office,Michigan,44.752533,-85.607414,79332,TRAVERSE CITY,1,1,10,14,40,40,increase
MO0490700,Joplin Police Department,Missouri,37.088596,-94.51099,50970,JOPLIN,0,1,20,28,40,40,increase
NC0320100,Durham Police Department,North Carolina,35.99697,-78.90893,291962,DURHAM,1,1,410,574,40,40,increase
UT0030100,Logan Police Department,Utah,41.68679,-111.82526,52015,LOGAN,0,1,5,7,40,40,increase
TX2490000,Wise County Sheriff's Office,Texas,33.23077,-97.6118,53973,DECATUR,0,0,23,14,-39.13043478,39.13043478,decrease
MI8234900,Detroit Police Department,Michigan,42.33564,-83.04305,673708,DETROIT,1,1,3163,4379,38.4445147,38.4445147,increase
OR0030000,Clackamas County Sheriff's Office,Oregon,45.32985,-122.600235,242708,OREGON CITY,1,1,29,40,37.93103448,37.93103448,increase
MA0122000,Plymouth Police Department,Massachusetts,41.92974,-70.65795,66289,PLYMOUTH,0,0,8,5,-37.5,37.5,decrease
MI4414400,Lapeer County Sheriff's Office,Michigan,43.034912,-83.352104,59320,LAPEER,0,1,8,11,37.5,37.5,increase
MI8118100,Washtenaw County Sheriff's Office,Michigan,42.256195,-83.68076,164766,ANN ARBOR,1,1,67,92,37.31343284,37.31343284,increase
NC0600100,Charlotte-Mecklenburg Police Department,North Carolina,35.222885,-80.83796,956282,CHARLOTTE,1,1,1517,2079,37.0468029,37.0468029,increase
NC0130200,Kannapolis Police Department,North Carolina,35.493385,-80.62674,53044,KANNAPOLIS,1,1,27,37,37.03703704,37.03703704,increase
UT0180600,West Jordan Police Department,Utah,40.605957,-111.93876,117862,WEST JORDAN,1,1,19,26,36.84210526,36.84210526,increase
LA0370000,Ouachita Parish Sheriff's Office,Louisiana,32.477664,-92.154848,85870,MONROE,1,1,85,116,36.47058824,36.47058824,increase
TN0180000,Cumberland County Sheriff's Office,Tennessee,35.941387,-85.02328,50433,CROSSVILLE,1,1,11,15,36.36363636,36.36363636,increase
TX1700100,Conroe Police Department,Texas,30.299402,-95.504008,99965,CONROE,1,1,44,60,36.36363636,36.36363636,increase
TN0470000,Knox County Sheriff's Office,Tennessee,35.992726,-83.937721,290703,KNOXVILLE,0,1,89,121,35.95505618,35.95505618,increase
SC0400100,Columbia Police Department,South Carolina,34.00228,-81.040215,132255,COLUMBIA,1,1,248,337,35.88709677,35.88709677,increase
SC0290000,Lancaster County Sheriff's Office,South Carolina,34.686818,-80.703688,92680,LANCASTER,1,1,79,107,35.44303797,35.44303797,increase
SC0040000,Anderson County Sheriff's Office,South Carolina,34.519549,-82.638086,156284,ANDERSON,1,1,191,258,35.07853403,35.07853403,increase
SC0100800,North Charleston Police Department,South Carolina,32.87881,-80.01314,121060,NORTH CHARLESTON,1,1,240,324,35,35,increase
TXDPD0000,Dallas Police Department,Texas,32.76778,-96.7956,1349185,DALLAS,1,1,2851,3839,34.65450719,34.65450719,increase
SC0180200,Summerville Police Department,South Carolina,33.024467,-80.176,54438,SUMMERVILLE,0,0,29,19,-34.48275862,34.48275862,decrease
TX0790000,Fort Bend County Sheriff's Office,Texas,29.574139,-95.75133,526388,RICHMOND,1,1,238,318,33.61344538,33.61344538,increase
CT0003400,Danbury Police Department,Connecticut,41.40037,-73.45838,84631,DANBURY,0,0,3,2,-33.33333333,33.33333333,decrease
VA0340000,Frederick County Sheriff's Office,Virginia,39.184128,-78.16244,88794,WINCHESTER,0,0,6,4,-33.33333333,33.33333333,decrease
VA0470100,James City County Police Department,Virginia,37.324427,-76.778319,78587,WILLIAMSBURG,1,0,6,4,-33.33333333,33.33333333,decrease
CO0390100,Grand Junction Police Department,Colorado,39.019492,-108.461837,63928,GRAND JUNCTION,1,1,42,56,33.33333333,33.33333333,increase
ID0420200,Twin Falls Police Department,Idaho,42.352309,-114.665639,52158,TWIN FALLS,1,1,21,28,33.33333333,33.33333333,increase
