ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
NM0010100,Albuquerque Police Department,1211,1574,1708,1,1.299752271,1.410404624
NM0070000,Dona Ana County Sheriff's Office,17,57,64,1,3.352941176,3.764705882
OH0091500,West Chester Township Police Department,4,15,16,1,3.75,4
OH0120000,Clark County Sheriff's Office,2,13,5,1,6.5,2.5
OH0130000,Clermont County Sheriff's Office,24,10,9,1,0.416666667,0.375
OH0184200,Parma Police Department,17,25,19,1,1.470588235,1.117647059
OH0230000,Fairfield County Sheriff's Office,11,16,11,1,1.454545455,1
OH0250000,Franklin County Sheriff's Office,2,7,5,1,3.5,2.5
OH0250300,Dublin Police Department,4,1,0,1,0.25,0
OH0314200,Colerain Township Police Department,5,23,28,1,4.6,5.6
OH0314400,Green Township Police Department,0,13,12,#DIV/0!,#DIV/0!,#DIV/0!
OH0450100,Newark Police Department,10,10,12,1,1,1.2
OH0470000,Lorain County Sheriff's Office,4,12,9,1,3,2.25
OH0470400,Elyria Police Department,12,19,27,1,1.583333333,2.25
OH0470500,Lorain Police Department,45,70,67,1,1.555555556,1.488888889
OH0480000,Lucas County Sheriff's Office,15,14,15,1,0.933333333,1
OH0480700,Toledo Police Department,594,754,902,1,1.269360269,1.518518519
OH0500900,Youngstown Police Department,49,23,178,1,0.469387755,3.632653061
OH0570000,Montgomery County Sheriff's Office,48,81,71,1,1.6875,1.479166667
OH0570200,Dayton Police Department,275,436,461,1,1.585454545,1.676363636
OH0700000,Richland County Sheriff's Office,9,13,13,1,1.444444444,1.444444444
OH0710000,Ross County Sheriff's Office,19,15,13,1,0.789473684,0.684210526
OH0730000,Scioto County Sheriff's Office,7,4,4,1,0.571428571,0.571428571
OH0760000,Stark County Sheriff's Office,15,26,25,1,1.733333333,1.666666667
OH0760400,Canton Police Department,192,255,291,1,1.328125,1.515625
OH0770000,Summit County Sheriff's Office,5,11,12,1,2.2,2.4
OH0770100,Akron Police Department,304,453,434,1,1.490131579,1.427631579
OH0830000,Warren County Sheriff's Office,6,4,7,1,0.666666667,1.166666667
OH0850000,Wayne County Sheriff's Office,5,6,8,1,1.2,1.6
OHCIP0000,Cincinnati Police Department,653,908,862,1,1.39050536,1.320061256
OHCLP0000,Cleveland Police Department,989,1530,1589,1,1.547017189,1.606673407
OHCOP0000,Columbus Police Department,700,1027,1216,1,1.467142857,1.737142857
OK0140200,Norman Police Department,23,50,48,1,2.173913043,2.086956522
OK0550300,Edmond Police Department,13,23,22,1,1.769230769,1.692307692
OK0600200,Stillwater Police Department,9,19,7,1,2.111111111,0.777777778
OR0020100,Corvallis Police Department,0,3,2,#DIV/0!,#DIV/0!,#DIV/0!
OR0030000,Clackamas County Sheriff's Office,29,40,40,1,1.379310345,1.379310345
OR0090000,Deschutes County Sheriff's Office,8,4,3,1,0.5,0.375
OR0090100,Bend Police Department,6,2,1,1,0.333333333,0.166666667
OR0100000,Douglas County Sheriff's Office,9,24,14,1,2.666666667,1.555555556
OR0150000,Jackson County Sheriff's Office,11,2,4,1,0.181818182,0.363636364
OR0150400,Medford Police Department,29,24,10,1,0.827586207,0.344827586
OR0200200,Eugene Police Department,13,24,33,1,1.846153846,2.538461538
OR0200600,Springfield Police Department,2,8,8,1,4,4
OR0220000,Linn County Sheriff's Office,2,3,0,1,1.5,0
OR0220100,Albany Police Department,4,2,2,1,0.5,0.5
OR0240200,Salem Police Department,69,72,91,1,1.043478261,1.31884058
OR0260100,Gresham Police Department,33,64,81,1,1.939393939,2.454545455
OR0260200,Portland Police Department,327,396,756,1,1.211009174,2.311926606
OR0340000,Washington County Sheriff's Office,26,42,50,1,1.615384615,1.923076923
OR0340100,Beaverton Police Department,20,19,21,1,0.95,1.05
OR0340300,Hillsboro Police Department,16,28,18,1,1.75,1.125
OR0340400,Tigard Police Department,12,14,14,1,1.166666667,1.166666667
RI0020300,Warwick Police Department,2,4,6,1,2,3
RI0040200,Cranston Police Department,5,6,14,1,1.2,2.8
RI0040800,Pawtucket Police Department,27,42,52,1,1.555555556,1.925925926
RI0040900,Providence Police Department,85,116,98,1,1.364705882,1.152941176
SC0040000,Anderson County Sheriff's Office,191,264,258,1,1.382198953,1.35078534
SC0070000,Beaufort County Sheriff's Office,114,137,136,1,1.201754386,1.192982456
SC0080000,Berkeley County Sheriff's Office,69,131,120,1,1.898550725,1.739130435
SC0100000,Charleston County Sheriff's Office,47,34,50,1,0.723404255,1.063829787
SC0100100,Charleston Police Department,124,167,178,1,1.346774194,1.435483871
SC0100300,Mount Pleasant Police Department,12,17,17,1,1.416666667,1.416666667
SC0100800,North Charleston Police Department,240,313,324,1,1.304166667,1.35
SC0160000,Darlington County Sheriff's Office,122,98,151,1,0.803278689,1.237704918
SC0180000,Dorchester County Sheriff's Office,93,92,98,1,0.989247312,1.053763441
SC0180200,Summerville Police Department,29,18,19,1,0.620689655,0.655172414
SC0210000,Florence County Sheriff's Office,121,148,150,1,1.223140496,1.239669421
SC0220000,Georgetown County Sheriff's Office,39,53,36,1,1.358974359,0.923076923
SC0230000,Greenville County Sheriff's Office,328,444,381,1,1.353658537,1.161585366
SC0230200,Greenville Police Department,65,104,117,1,1.6,1.8
SC0260400,Horry County Police Department,189,257,221,1,1.35978836,1.169312169
SC0280000,Kershaw County Sheriff's Office,38,42,54,1,1.105263158,1.421052632
SC0290000,Lancaster County Sheriff's Office,79,78,107,1,0.987341772,1.35443038
SC0320000,Lexington County Sheriff's Office,114,145,167,1,1.271929825,1.464912281
SC0370000,Oconee County Sheriff's Office,38,69,72,1,1.815789474,1.894736842
SC0380000,Orangeburg County Sheriff's Office,196,282,302,1,1.43877551,1.540816327
SC0390000,Pickens County Sheriff's Office,48,53,46,1,1.104166667,0.958333333
SC0400000,Richland County Sheriff's Office,570,613,644,1,1.075438596,1.129824561
SC0400100,Columbia Police Department,248,291,337,1,1.173387097,1.358870968
SC0420000,Spartanburg County Sheriff's Office,217,253,253,1,1.165898618,1.165898618
SC0430000,Sumter County Sheriff's Office,117,151,153,1,1.290598291,1.307692308
SC0460000,York County Sheriff's Office,54,72,79,1,1.333333333,1.462962963
SD0490200,Sioux Falls Police Department,83,104,131,1,1.253012048,1.578313253
SD0510100,Rapid City Police Department,31,57,51,1,1.838709677,1.64516129
TN0050000,Blount County Sheriff's Office,57,67,53,1,1.175438596,0.929824561
TN0060000,Bradley County Sheriff's Office,21,46,49,1,2.19047619,2.333333333
TN0180000,Cumberland County Sheriff's Office,11,10,15,1,0.909090909,1.363636364
TN0190100,Nashville Metropolitan Police Department,1490,1985,2139,1,1.332214765,1.43557047
TN0330000,Hamilton County Sheriff's Office,23,37,38,1,1.608695652,1.652173913
TN0330100,Chattanooga Police Department,407,606,762,1,1.488943489,1.872235872
TN0470000,Knox County Sheriff's Office,89,111,121,1,1.247191011,1.359550562
TN0470100,Knoxville Police Department,245,380,417,1,1.551020408,1.702040816
TN0570100,Jackson Police Department,160,207,210,1,1.29375,1.3125
TN0630000,Montgomery County Sheriff's Office,21,28,24,1,1.333333333,1.142857143
TN0630100,Clarksville Police Department,225,263,278,1,1.168888889,1.235555556
TN0750000,Rutherford County Sheriff's Office,48,51,63,1,1.0625,1.3125
TN0750100,Murfreesboro Police Department,107,169,164,1,1.579439252,1.53271028
TN0750200,Smyrna Police Department,32,50,47,1,1.5625,1.46875
TN0780000,Sevier County Sheriff's Office,21,33,25,1,1.571428571,1.19047619
TN0790000,Shelby County Sheriff's Office,130,213,169,1,1.638461538,1.3
TN0790100,Collierville Police Department,18,27,9,1,1.5,0.5
TN0790600,Bartlett Police Department,23,21,37,1,0.913043478,1.608695652
TN0820000,Sullivan County Sheriff's Office,41,72,49,1,1.756097561,1.195121951
TN0820200,Kingsport Police Department,45,83,99,1,1.844444444,2.2
TN0830000,Sumner County Sheriff's Office,25,20,25,1,0.8,1
TN0830400,Hendersonville Police Department,27,18,7,1,0.666666667,0.259259259
TN0900000,Washington County Sheriff's Office,32,38,32,1,1.1875,1
TN0900100,Johnson City Police Department,50,52,50,1,1.04,1
TN0940000,Williamson County Sheriff's Office,22,15,22,1,0.681818182,1
TN0940100,Franklin Police Department,24,29,32,1,1.208333333,1.333333333
TN0950000,Wilson County Sheriff's Office,13,22,15,1,1.692307692,1.153846154
TNMPD0000,Memphis Police Department,3362,4810,5608,1,1.430696014,1.668054729
TX0140700,Temple Police Department,52,98,88,1,1.884615385,1.692307692
TX0201000,Pearland Police Department,15,27,39,1,1.8,2.6
TX0210200,College Station Police Department,26,36,47,1,1.384615385,1.807692308
TX0310100,Brownsville Police Department,75,87,98,1,1.16,1.306666667
TX0310300,Harlingen Police Department,25,30,56,1,1.2,2.24
TX0430400,Frisco Police Department,21,35,59,1,1.666666667,2.80952381
TX0430500,McKinney Police Department,57,69,68,1,1.210526316,1.192982456
TX0430600,Plano Police Department,53,78,83,1,1.471698113,1.566037736
TX0430800,Wylie Police Department,1,7,9,1,7,9
TX0460100,New Braunfels Police Department,27,41,41,1,1.518518519,1.518518519
TX0571200,Grand Prairie Police Department,118,127,116,1,1.076271186,0.983050847
TX0571800,Mesquite Police Department,139,178,234,1,1.28057554,1.683453237
TX0572000,Richardson Police Department,23,33,42,1,1.434782609,1.826086957
TX0573300,Rowlett Police Department,8,21,30,1,2.625,3.75
TX0610200,Denton Police Department,26,67,83,1,2.576923077,3.192307692
TX0610600,Lewisville Police Department,34,53,78,1,1.558823529,2.294117647
TX0611200,Flower Mound Police Department,3,2,4,1,0.666666667,1.333333333
TX0790000,Fort Bend County Sheriff's Office,238,311,318,1,1.306722689,1.336134454
TX0790100,Missouri City Police Department,19,34,30,1,1.789473684,1.578947368
TX0920500,Longview Police Department,95,63,78,1,0.663157895,0.821052632
TX1011500,Pasadena Police Department,107,163,181,1,1.523364486,1.691588785
TX1050100,San Marcos Police Department,32,39,64,1,1.21875,2
TX1050700,Kyle Police Department,7,6,15,1,0.857142857,2.142857143
TX1110000,Hood County Sheriff's Office,16,25,17,1,1.5625,1.0625
TX1290000,Kaufman County Sheriff's Office,25,22,46,1,0.88,1.84
TX1520200,Lubbock Police Department,442,545,577,1,1.233031674,1.305429864
TX1551200,Waco Police Department,156,242,308,1,1.551282051,1.974358974
TX1700100,Conroe Police Department,44,30,60,1,0.681818182,1.363636364
TX1840000,Parker County Sheriff's Office,33,35,40,1,1.060606061,1.212121212
TX1880100,Amarillo Police Department,285,404,371,1,1.41754386,1.301754386
TX2120400,Tyler Police Department,87,129,155,1,1.482758621,1.781609195
TX2200100,Arlington Police Department,476,531,630,1,1.115546218,1.323529412
TX2201200,Fort Worth Police Department,756,1132,1390,1,1.497354497,1.838624339
TX2202100,North Richland Hills Police Department,24,32,32,1,1.333333333,1.333333333
TX2210100,Abilene Police Department,76,101,125,1,1.328947368,1.644736842
TX2260100,San Angelo Police Department,91,116,90,1,1.274725275,0.989010989
TX2270100,Austin Police Department,571,964,1128,1,1.6882662,1.975481611
TX2270900,Pflugerville Police Department,12,26,36,1,2.166666667,3
TX2350100,Victoria Police Department,80,96,90,1,1.2,1.125
TX2400100,Laredo Police Department,101,104,122,1,1.02970297,1.207920792
TX2460000,Williamson County Sheriff's Office,30,49,44,1,1.633333333,1.466666667
TX2460200,Georgetown Police Department,9,15,24,1,1.666666667,2.666666667
TX2490000,Wise County Sheriff's Office,23,21,14,1,0.913043478,0.608695652
TXDPD0000,Dallas Police Department,2851,3620,3839,1,1.269729919,1.346545072
TXHPD0000,Houston Police Department,3742,5626,6325,1,1.503474078,1.690272582
UT0030100,Logan Police Department,5,2,7,1,0.4,1.4
UT0060300,Layton Police Department,9,3,10,1,0.333333333,1.111111111
UT0180000,Salt Lake County Unified Police Department,82,94,75,1,1.146341463,0.914634146
UT0180300,Salt Lake City Police Department,108,165,202,1,1.527777778,1.87037037
UT0180600,West Jordan Police Department,19,25,26,1,1.315789474,1.368421053
UT0181800,South Jordan Police Department,7,9,10,1,1.285714286,1.428571429
UT0182500,West Valley Police Department,57,61,85,1,1.070175439,1.49122807
UT0250000,Utah County Sheriff's Office,5,5,2,1,1,0.4
UT0250600,Provo Police Department,2,0,2,1,0,1
UT0270100,St. George Police Department,12,9,17,1,0.75,1.416666667
UT0290000,Weber County Sheriff's Office,6,10,10,1,1.666666667,1.666666667
UT0290100,Ogden Police Department,22,44,51,1,2,2.318181818
VA0020300,Albemarle County Police Department,4,7,10,1,1.75,2.5
VA0070100,Arlington County Police Department,23,34,53,1,1.47826087,2.304347826
VA0080000,Augusta County Sheriff's Office,11,14,6,1,1.272727273,0.545454545
VA0100000,Bedford County Sheriff's Office,11,26,25,1,2.363636364,2.272727273
VA0160000,Campbell County Sheriff's Office,20,24,32,1,1.2,1.6
VA0210100,Chesterfield County Police Department,32,44,116,1,1.375,3.625
VA0290100,Fairfax County Police Department,32,45,40,1,1.40625,1.25
VA0300000,Fauquier County Sheriff's Office,1,1,3,1,1,3
VA0330000,Franklin County Sheriff's Office,6,7,7,1,1.166666667,1.166666667
VA0340000,Frederick County Sheriff's Office,6,5,4,1,0.833333333,0.666666667
VA0420000,Hanover County Sheriff's Office,33,25,34,1,0.757575758,1.03030303
VA0430100,Henrico County Police Department,115,158,213,1,1.373913043,1.852173913
VA0470100,James City County Police Department,6,6,4,1,1,0.666666667
VA0530000,Loudoun County Sheriff's Office,14,12,10,1,0.857142857,0.714285714
VA0530100,Leesburg Police Department,2,11,9,1,5.5,4.5
VA0710000,Pittsylvania County Sheriff's Office,11,6,11,1,0.545454545,1
VA0750300,Prince William County Police Department,105,183,215,1,1.742857143,2.047619048
VA0800300,Roanoke County Police Department,32,35,45,1,1.09375,1.40625
VA0820000,Rockingham County Sheriff's Office,3,13,15,1,4.333333333,5
VA0880000,Spotsylvania County Sheriff's Office,8,11,12,1,1.375,1.5
VA0890000,Stafford County Sheriff's Office,49,57,71,1,1.163265306,1.448979592
VA0980000,York County Sheriff's Office,13,21,25,1,1.615384615,1.923076923
VA0990000,Alexandria Police Department,31,44,60,1,1.419354839,1.935483871
VA1030000,Chesapeake Police Department,168,231,301,1,1.375,1.791666667
VA1110000,Hampton Police Department,97,101,111,1,1.041237113,1.144329897
VA1120000,Harrisonburg Police Department,11,13,10,1,1.181818182,0.909090909
VA1140000,Lynchburg Police Department,45,78,79,1,1.733333333,1.755555556
VA1160000,Newport News Police Department,289,347,370,1,1.200692042,1.280276817
VA1170000,Norfolk Police Department,288,445,573,1,1.545138889,1.989583333
VA1200000,Portsmouth Police Department,295,289,282,1,0.979661017,0.955932203
VA1220000,Richmond Police Department,201,186,218,1,0.925373134,1.084577114
VA1230000,Roanoke Police Department,73,126,120,1,1.726027397,1.643835616
VA1270000,Suffolk Police Department,49,103,128,1,2.102040816,2.612244898
VA1280000,Virginia Beach Police Department,29,53,53,1,1.827586207,1.827586207
WA0030100,Kennewick Police Department,38,27,59,1,0.710526316,1.552631579
WA0030200,Richland Police Department,12,20,20,1,1.666666667,1.666666667
WA0060000,Clark County Sheriff's Office,14,28,24,1,2,1.714285714
WA0060300,Vancouver Police Department,42,70,126,1,1.666666667,3
WA0110200,Pasco Police Department,20,16,34,1,0.8,1.7
WA0150000,Island County Sheriff's Office,4,3,4,1,0.75,1
WA0170000,King County Sheriff's Office,48,46,70,1,0.958333333,1.458333333
WA0170100,Auburn Police Department,39,36,38,1,0.923076923,0.974358974
WA0170200,Bellevue Police Department,8,19,15,1,2.375,1.875
WA0170700,Kent Police Department,46,74,105,1,1.608695652,2.282608696
WA0170800,Kirkland Police Department,6,6,5,1,1,0.833333333
WA0171200,Redmond Police Department,6,3,2,1,0.5,0.333333333
WA0171300,Renton Police Department,34,61,61,1,1.794117647,1.794117647
WA0173600,Federal Way Police Department,45,71,118,1,1.577777778,2.622222222
WA0174100,Burien Police Department,19,27,36,1,1.421052632,1.894736842
WA0174300,Shoreline Police Department,4,9,13,1,2.25,3.25
WA0175000,Sammamish Police Department,1,2,3,1,2,3
WA0180000,Kitsap County Sheriff's Office,21,28,28,1,1.333333333,1.333333333
WA0230000,Mason County Sheriff's Office,13,4,10,1,0.307692308,0.769230769
WA0270000,Pierce County Sheriff's Office,163,198,268,1,1.214723926,1.644171779
WA0270300,Tacoma Police Department,379,443,756,1,1.168865435,1.994722955
WA0272300,Lakewood Police Department,69,72,101,1,1.043478261,1.463768116
WA0290000,Skagit County Sheriff's Office,5,7,4,1,1.4,0.8
WA0310000,Snohomish County Sheriff's Office,59,55,63,1,0.93220339,1.06779661
WA0310300,Everett Police Department,32,36,59,1,1.125,1.84375
WA0310500,Marysville Police Department,12,5,19,1,0.416666667,1.583333333
WA0320000,Spokane County Sheriff's Office,23,23,30,1,1,1.304347826
WA0320400,Spokane Police Department,124,157,197,1,1.266129032,1.588709677
WA0321500,Spokane Valley Police Department,19,29,32,1,1.526315789,1.684210526
WA0340000,Thurston County Sheriff's Office,20,19,31,1,0.95,1.55
WA0340100,Olympia Police Department,7,14,10,1,2,1.428571429
WA0340400,Lacey Police Department,4,4,7,1,1,1.75
WA0370000,Whatcom County Sheriff's Office,14,8,12,1,0.571428571,0.857142857
WA0370100,Bellingham Police Department,11,7,20,1,0.636363636,1.818181818
WA0390000,Yakima County Sheriff's Office,16,22,28,1,1.375,1.75
WA0390500,Yakima Police Department,65,146,118,1,2.246153846,1.815384615
WASPD0000,Seattle Police Department,280,377,544,1,1.346428571,1.942857143
WI0050000,Brown County Sheriff's Office,2,0,1,1,0,0.5
WI0050200,Green Bay Police Department,40,55,58,1,1.375,1.45
WI0130000,Dane County Sheriff's Office,6,15,17,1,2.5,2.833333333
WI0130100,Madison Police Department,64,82,84,1,1.28125,1.3125
WI0180100,Eau Claire Police Department,9,15,7,1,1.666666667,0.777777778
WI0320100,La Crosse Police Department,1,2,1,1,2,1
WI0370000,Marathon County Sheriff's Office,4,4,4,1,1,1
WI0411600,West Allis Police Department,14,15,11,1,1.071428571,0.785714286
WI0450000,Outagamie County Sheriff's Office,0,3,0,#DIV/0!,#DIV/0!,#DIV/0!
WI0450100,Appleton Police Department,8,9,16,1,1.125,2
WI0520200,Racine Police Department,28,61,31,1,2.178571429,1.107142857
WI0540200,Janesville Police Department,2,1,2,1,0.5,1
WI0560000,St. Croix County Sheriff's Office,1,1,6,1,1,6
WI0710300,Oshkosh Police Department,11,6,8,1,0.545454545,0.727272727
WIMPD0000,Milwaukee Police Department,1733,2658,2942,1,1.533756492,1.69763416
WV0020000,Berkeley County Sheriff's Office,10,21,17,1,2.1,1.7
WV0200000,Kanawha County Sheriff's Office,69,68,65,1,0.985507246,0.942028986
WV0310000,Monongalia County Sheriff's Office,8,2,9,1,0.25,1.125
WV0410000,Raleigh County Sheriff's Office,9,30,27,1,3.333333333,3