ori,,2019,2021,perc_21_19
OHCOP0000,Columbus Police Department,700.0,1216.0,1.737142857142857
OK0140200,Norman Police Department,23.0,48.0,2.0869565217391304
OK0550300,Edmond Police Department,13.0,22.0,1.6923076923076923
OK0600200,Stillwater Police Department,9.0,7.0,0.7777777777777778
OR0020100,Corvallis Police Department,0.0,2.0,inf
OR0030000,Clackamas County Sheriff's Office,29.0,40.0,1.3793103448275863
OR0090000,Deschutes County Sheriff's Office,8.0,3.0,0.375
OR0090100,Bend Police Department,6.0,1.0,0.16666666666666666
OR0100000,Douglas County Sheriff's Office,9.0,14.0,1.5555555555555556
OR0150000,Jackson County Sheriff's Office,11.0,4.0,0.36363636363636365
OR0150400,Medford Police Department,29.0,10.0,0.3448275862068966
OR0200200,Eugene Police Department,13.0,33.0,2.5384615384615383
OR0200600,Springfield Police Department,2.0,8.0,4.0
OR0220000,Linn County Sheriff's Office,2.0,0.0,0.0
OR0220100,Albany Police Department,4.0,2.0,0.5
OR0240200,Salem Police Department,69.0,91.0,1.318840579710145
OR0260100,Gresham Police Department,33.0,81.0,2.4545454545454546
OR0260200,Portland Police Department,327.0,756.0,2.311926605504587
OR0340000,Washington County Sheriff's Office,26.0,50.0,1.9230769230769231
OR0340100,Beaverton Police Department,20.0,21.0,1.05
OR0340300,Hillsboro Police Department,16.0,18.0,1.125
OR0340400,Tigard Police Department,12.0,14.0,1.1666666666666667
RI0020300,Warwick Police Department,2.0,6.0,3.0
RI0040200,Cranston Police Department,5.0,14.0,2.8
RI0040800,Pawtucket Police Department,27.0,52.0,1.9259259259259258
RI0040900,Providence Police Department,85.0,98.0,1.1529411764705881
SC0040000,Anderson County Sheriff's Office,191.0,258.0,1.350785340314136
SC0070000,Beaufort County Sheriff's Office,114.0,136.0,1.1929824561403508
SC0080000,Berkeley County Sheriff's Office,69.0,120.0,1.7391304347826086
SC0100000,Charleston County Sheriff's Office,47.0,50.0,1.0638297872340425
SC0100100,Charleston Police Department,124.0,178.0,1.435483870967742
SC0100300,Mount Pleasant Police Department,12.0,17.0,1.4166666666666667
SC0100800,North Charleston Police Department,240.0,324.0,1.35
SC0160000,Darlington County Sheriff's Office,122.0,151.0,1.2377049180327868
SC0180000,Dorchester County Sheriff's Office,93.0,98.0,1.053763440860215
SC0180200,Summerville Police Department,29.0,19.0,0.6551724137931034
SC0210000,Florence County Sheriff's Office,121.0,150.0,1.2396694214876034
SC0220000,Georgetown County Sheriff's Office,39.0,36.0,0.9230769230769231
SC0230000,Greenville County Sheriff's Office,328.0,381.0,1.1615853658536586
SC0230200,Greenville Police Department,65.0,117.0,1.8
SC0260400,Horry County Police Department,189.0,221.0,1.1693121693121693
SC0280000,Kershaw County Sheriff's Office,38.0,54.0,1.4210526315789473
SC0290000,Lancaster County Sheriff's Office,79.0,107.0,1.3544303797468353
SC0320000,Lexington County Sheriff's Office,114.0,167.0,1.4649122807017543
SC0370000,Oconee County Sheriff's Office,38.0,72.0,1.894736842105263
SC0380000,Orangeburg County Sheriff's Office,196.0,302.0,1.5408163265306123
SC0390000,Pickens County Sheriff's Office,48.0,46.0,0.9583333333333334
SC0400000,Richland County Sheriff's Office,570.0,644.0,1.1298245614035087
SC0400100,Columbia Police Department,248.0,337.0,1.3588709677419355
SC0420000,Spartanburg County Sheriff's Office,217.0,253.0,1.1658986175115207
SC0430000,Sumter County Sheriff's Office,117.0,153.0,1.3076923076923077
SC0460000,York County Sheriff's Office,54.0,79.0,1.462962962962963
SD0490200,Sioux Falls Police Department,83.0,131.0,1.5783132530120483
SD0510100,Rapid City Police Department,31.0,51.0,1.6451612903225807
TN0050000,Blount County Sheriff's Office,57.0,53.0,0.9298245614035088
TN0060000,Bradley County Sheriff's Office,21.0,49.0,2.3333333333333335
TN0180000,Cumberland County Sheriff's Office,11.0,15.0,1.3636363636363635
TN0190100,Nashville Metropolitan Police Department,1490.0,2139.0,1.4355704697986578
TN0330000,Hamilton County Sheriff's Office,23.0,38.0,1.6521739130434783
TN0330100,Chattanooga Police Department,407.0,762.0,1.8722358722358723
TN0470000,Knox County Sheriff's Office,89.0,121.0,1.3595505617977528
TN0470100,Knoxville Police Department,245.0,417.0,1.7020408163265306
TN0570100,Jackson Police Department,160.0,210.0,1.3125
TN0630000,Montgomery County Sheriff's Office,21.0,24.0,1.1428571428571428
TN0630100,Clarksville Police Department,225.0,278.0,1.2355555555555555
TN0750000,Rutherford County Sheriff's Office,48.0,63.0,1.3125
TN0750100,Murfreesboro Police Department,107.0,164.0,1.5327102803738317
TN0750200,Smyrna Police Department,32.0,47.0,1.46875
TN0780000,Sevier County Sheriff's Office,21.0,25.0,1.1904761904761905
TN0790000,Shelby County Sheriff's Office,130.0,169.0,1.3
TN0790100,Collierville Police Department,18.0,9.0,0.5
TN0790600,Bartlett Police Department,23.0,37.0,1.608695652173913
TN0820000,Sullivan County Sheriff's Office,41.0,49.0,1.1951219512195121
TN0820200,Kingsport Police Department,45.0,99.0,2.2
TN0830000,Sumner County Sheriff's Office,25.0,25.0,1.0
TN0830400,Hendersonville Police Department,27.0,7.0,0.25925925925925924
TN0900000,Washington County Sheriff's Office,32.0,32.0,1.0
TN0900100,Johnson City Police Department,50.0,50.0,1.0
TN0940000,Williamson County Sheriff's Office,22.0,22.0,1.0
TN0940100,Franklin Police Department,24.0,32.0,1.3333333333333333
TN0950000,Wilson County Sheriff's Office,13.0,15.0,1.1538461538461537
TNMPD0000,Memphis Police Department,3362.0,5608.0,1.668054729327781
TX0140700,Temple Police Department,52.0,88.0,1.6923076923076923
TX0201000,Pearland Police Department,15.0,39.0,2.6
TX0210200,College Station Police Department,26.0,47.0,1.8076923076923077
TX0310100,Brownsville Police Department,75.0,98.0,1.3066666666666666
TX0310300,Harlingen Police Department,25.0,56.0,2.24
TX0430400,Frisco Police Department,21.0,59.0,2.8095238095238093
TX0430500,McKinney Police Department,57.0,68.0,1.1929824561403508
TX0430600,Plano Police Department,53.0,83.0,1.5660377358490567
TX0430800,Wylie Police Department,1.0,9.0,9.0
TX0460100,New Braunfels Police Department,27.0,41.0,1.5185185185185186
TX0571200,Grand Prairie Police Department,118.0,116.0,0.9830508474576272
TX0571800,Mesquite Police Department,139.0,234.0,1.683453237410072
TX0572000,Richardson Police Department,23.0,42.0,1.826086956521739
TX0573300,Rowlett Police Department,8.0,30.0,3.75
TX0610200,Denton Police Department,26.0,83.0,3.1923076923076925
TX0610600,Lewisville Police Department,34.0,78.0,2.2941176470588234
TX0611200,Flower Mound Police Department,3.0,4.0,1.3333333333333333
TX0790000,Fort Bend County Sheriff's Office,238.0,318.0,1.3361344537815125
TX0790100,Missouri City Police Department,19.0,30.0,1.5789473684210527
TX0920500,Longview Police Department,95.0,78.0,0.8210526315789474
TX1011500,Pasadena Police Department,107.0,181.0,1.691588785046729
TX1050100,San Marcos Police Department,32.0,64.0,2.0
TX1050700,Kyle Police Department,7.0,15.0,2.142857142857143
TX1110000,Hood County Sheriff's Office,16.0,17.0,1.0625
TX1290000,Kaufman County Sheriff's Office,25.0,46.0,1.84
TX1520200,Lubbock Police Department,442.0,577.0,1.3054298642533937
TX1551200,Waco Police Department,156.0,308.0,1.9743589743589745
TX1700100,Conroe Police Department,44.0,60.0,1.3636363636363635
TX1840000,Parker County Sheriff's Office,33.0,40.0,1.2121212121212122
TX1880100,Amarillo Police Department,285.0,371.0,1.3017543859649123
TX2120400,Tyler Police Department,87.0,155.0,1.7816091954022988
TX2200100,Arlington Police Department,476.0,630.0,1.3235294117647058
TX2201200,Fort Worth Police Department,756.0,1390.0,1.8386243386243386
TX2202100,North Richland Hills Police Department,24.0,32.0,1.3333333333333333
TX2210100,Abilene Police Department,76.0,125.0,1.644736842105263
TX2260100,San Angelo Police Department,91.0,90.0,0.989010989010989
TX2270100,Austin Police Department,571.0,1128.0,1.9754816112084064
TX2270900,Pflugerville Police Department,12.0,36.0,3.0
TX2350100,Victoria Police Department,80.0,90.0,1.125
TX2400100,Laredo Police Department,101.0,122.0,1.2079207920792079
TX2460000,Williamson County Sheriff's Office,30.0,44.0,1.4666666666666666
TX2460200,Georgetown Police Department,9.0,24.0,2.6666666666666665
TX2490000,Wise County Sheriff's Office,23.0,14.0,0.6086956521739131
TXDPD0000,Dallas Police Department,2851.0,3839.0,1.3465450719045948
TXHPD0000,Houston Police Department,3742.0,6325.0,1.6902725815072155
UT0030100,Logan Police Department,5.0,7.0,1.4
UT0060300,Layton Police Department,9.0,10.0,1.1111111111111112
UT0180000,Salt Lake County Unified Police Department,82.0,75.0,0.9146341463414634
UT0180300,Salt Lake City Police Department,108.0,202.0,1.8703703703703705
UT0180600,West Jordan Police Department,19.0,26.0,1.368421052631579
UT0181800,South Jordan Police Department,7.0,10.0,1.4285714285714286
UT0182500,West Valley Police Department,57.0,85.0,1.4912280701754386
UT0250000,Utah County Sheriff's Office,5.0,2.0,0.4
UT0250600,Provo Police Department,2.0,2.0,1.0
UT0270100,St. George Police Department,12.0,17.0,1.4166666666666667
UT0290000,Weber County Sheriff's Office,6.0,10.0,1.6666666666666667
UT0290100,Ogden Police Department,22.0,51.0,2.3181818181818183
VA0020300,Albemarle County Police Department,4.0,10.0,2.5
VA0070100,Arlington County Police Department,23.0,53.0,2.3043478260869565
VA0080000,Augusta County Sheriff's Office,11.0,6.0,0.5454545454545454
VA0100000,Bedford County Sheriff's Office,11.0,25.0,2.272727272727273
VA0160000,Campbell County Sheriff's Office,20.0,32.0,1.6
VA0210100,Chesterfield County Police Department,32.0,116.0,3.625
VA0290100,Fairfax County Police Department,32.0,40.0,1.25
VA0300000,Fauquier County Sheriff's Office,1.0,3.0,3.0
VA0330000,Franklin County Sheriff's Office,6.0,7.0,1.1666666666666667
VA0340000,Frederick County Sheriff's Office,6.0,4.0,0.6666666666666666
VA0420000,Hanover County Sheriff's Office,33.0,34.0,1.0303030303030303
VA0430100,Henrico County Police Department,115.0,213.0,1.8521739130434782
VA0470100,James City County Police Department,6.0,4.0,0.6666666666666666
VA0530000,Loudoun County Sheriff's Office,14.0,10.0,0.7142857142857143
VA0530100,Leesburg Police Department,2.0,9.0,4.5
VA0710000,Pittsylvania County Sheriff's Office,11.0,11.0,1.0
VA0750300,Prince William County Police Department,105.0,215.0,2.0476190476190474
VA0800300,Roanoke County Police Department,32.0,45.0,1.40625
VA0820000,Rockingham County Sheriff's Office,3.0,15.0,5.0
VA0880000,Spotsylvania County Sheriff's Office,8.0,12.0,1.5
VA0890000,Stafford County Sheriff's Office,49.0,71.0,1.4489795918367347
VA0980000,York County Sheriff's Office,13.0,25.0,1.9230769230769231
VA0990000,Alexandria Police Department,31.0,60.0,1.935483870967742
VA1030000,Chesapeake Police Department,168.0,301.0,1.7916666666666667
VA1110000,Hampton Police Department,97.0,111.0,1.1443298969072164
VA1120000,Harrisonburg Police Department,11.0,10.0,0.9090909090909091
VA1140000,Lynchburg Police Department,45.0,79.0,1.7555555555555555
VA1160000,Newport News Police Department,289.0,370.0,1.2802768166089966
VA1170000,Norfolk Police Department,288.0,573.0,1.9895833333333333
VA1200000,Portsmouth Police Department,295.0,282.0,0.9559322033898305
VA1220000,Richmond Police Department,201.0,218.0,1.0845771144278606
VA1230000,Roanoke Police Department,73.0,120.0,1.643835616438356
VA1270000,Suffolk Police Department,49.0,128.0,2.6122448979591835
VA1280000,Virginia Beach Police Department,29.0,53.0,1.8275862068965518
WA0030100,Kennewick Police Department,38.0,59.0,1.5526315789473684
WA0030200,Richland Police Department,12.0,20.0,1.6666666666666667
WA0060000,Clark County Sheriff's Office,14.0,24.0,1.7142857142857142
WA0060300,Vancouver Police Department,42.0,126.0,3.0
WA0110200,Pasco Police Department,20.0,34.0,1.7
WA0150000,Island County Sheriff's Office,4.0,4.0,1.0
WA0170000,King County Sheriff's Office,48.0,70.0,1.4583333333333333
WA0170100,Auburn Police Department,39.0,38.0,0.9743589743589743
WA0170200,Bellevue Police Department,8.0,15.0,1.875
WA0170700,Kent Police Department,46.0,105.0,2.282608695652174
WA0170800,Kirkland Police Department,6.0,5.0,0.8333333333333334
WA0171200,Redmond Police Department,6.0,2.0,0.3333333333333333
WA0171300,Renton Police Department,34.0,61.0,1.7941176470588236
WA0173600,Federal Way Police Department,45.0,118.0,2.6222222222222222
WA0174100,Burien Police Department,19.0,36.0,1.894736842105263
WA0174300,Shoreline Police Department,4.0,13.0,3.25
WA0175000,Sammamish Police Department,1.0,3.0,3.0
WA0180000,Kitsap County Sheriff's Office,21.0,28.0,1.3333333333333333
WA0230000,Mason County Sheriff's Office,13.0,10.0,0.7692307692307693
WA0270000,Pierce County Sheriff's Office,163.0,268.0,1.6441717791411044
WA0270300,Tacoma Police Department,379.0,756.0,1.9947229551451187
WA0272300,Lakewood Police Department,69.0,101.0,1.463768115942029
WA0290000,Skagit County Sheriff's Office,5.0,4.0,0.8
WA0310000,Snohomish County Sheriff's Office,59.0,63.0,1.0677966101694916
WA0310300,Everett Police Department,32.0,59.0,1.84375
WA0310500,Marysville Police Department,12.0,19.0,1.5833333333333333
WA0320000,Spokane County Sheriff's Office,23.0,30.0,1.3043478260869565
WA0320400,Spokane Police Department,124.0,197.0,1.5887096774193548
WA0321500,Spokane Valley Police Department,19.0,32.0,1.6842105263157894
WA0340000,Thurston County Sheriff's Office,20.0,31.0,1.55
WA0340100,Olympia Police Department,7.0,10.0,1.4285714285714286
WA0340400,Lacey Police Department,4.0,7.0,1.75
WA0370000,Whatcom County Sheriff's Office,14.0,12.0,0.8571428571428571
WA0370100,Bellingham Police Department,11.0,20.0,1.8181818181818181
WA0390000,Yakima County Sheriff's Office,16.0,28.0,1.75
WA0390500,Yakima Police Department,65.0,118.0,1.8153846153846154
WASPD0000,Seattle Police Department,280.0,544.0,1.9428571428571428
WI0050000,Brown County Sheriff's Office,2.0,1.0,0.5
WI0050200,Green Bay Police Department,40.0,58.0,1.45
WI0130000,Dane County Sheriff's Office,6.0,17.0,2.8333333333333335
WI0130100,Madison Police Department,64.0,84.0,1.3125
WI0180100,Eau Claire Police Department,9.0,7.0,0.7777777777777778
WI0320100,La Crosse Police Department,1.0,1.0,1.0
WI0370000,Marathon County Sheriff's Office,4.0,4.0,1.0
WI0411600,West Allis Police Department,14.0,11.0,0.7857142857142857
WI0450000,Outagamie County Sheriff's Office,0.0,0.0,
WI0450100,Appleton Police Department,8.0,16.0,2.0
WI0520200,Racine Police Department,28.0,31.0,1.1071428571428572
WI0540200,Janesville Police Department,2.0,2.0,1.0
WI0560000,St. Croix County Sheriff's Office,1.0,6.0,6.0
WI0710300,Oshkosh Police Department,11.0,8.0,0.7272727272727273
WIMPD0000,Milwaukee Police Department,1733.0,2942.0,1.6976341604154646
WV0020000,Berkeley County Sheriff's Office,10.0,17.0,1.7
WV0200000,Kanawha County Sheriff's Office,69.0,65.0,0.9420289855072463
WV0310000,Monongalia County Sheriff's Office,8.0,9.0,1.125
WV0410000,Raleigh County Sheriff's Office,9.0,27.0,3.0
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,R,,,
A,Z,,,
A,Z,,,
A,Z,,,
A,Z,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,O,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
C,T,,,
D,E,,,
D,E,,,
D,E,,,
D,E,,,
G,A,,,
G,A,,,
G,A,,,
G,A,,,
G,A,,,
H,I,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,A,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,D,,,
I,L,,,
I,N,,,
I,N,,,
I,N,,,
I,N,,,
I,N,,,
K,S,,,
K,S,,,
K,S,,,
K,S,,,
K,S,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
K,Y,,,
L,A,,,
L,A,,,
L,A,,,
L,A,,,
L,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,A,,,
M,D,,,
M,E,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,I,,,
M,N,,,
M,N,,,
M,N,,,
M,N,,,
M,N,,,
M,N,,,
M,O,,,
M,O,,,
M,O,,,
M,O,,,
M,O,,,
M,O,,,
M,O,,,
M,S,,,
M,S,,,
M,S,,,
M,T,,,
M,T,,,
M,T,,,
M,T,,,
M,T,,,
M,T,,,
N,B,,,
N,B,,,
N,B,,,
N,B,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,C,,,
N,D,,,
N,D,,,
N,D,,,
N,H,,,
N,H,,,
N,M,,,
N,M,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,H,,,
O,K,,,
O,K,,,
O,K,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
O,R,,,
R,I,,,
R,I,,,
R,I,,,
R,I,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,C,,,
S,D,,,
S,D,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,N,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
T,X,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
U,T,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
V,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,A,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,I,,,
W,V,,,
W,V,,,
W,V,,,
W,V,,,
